ST_PUMA,ST_CO_PUMA
0100100,0100190
0100200,0100290
0100301,0100290
0100302,0100290
0100400,0100400
0100500,0100290
0100600,0100600
0100700,0100700
0100800,0100800
0100900,0100900
0101000,0101000
0101100,0101100
0101200,0101200
0101301,0101300
0101302,0101300
0101303,0101300
0101304,0101300
0101305,0101300
0101400,0100190
0101500,0101590
0101600,0101590
0101700,0101700
0101800,0101800
0101900,0101900
0102000,0102090
0102100,0102090
0102200,0102200
0102300,0102300
0102400,0102400
0102500,0102500
0102600,0102600
0102701,0102700
0102702,0102700
0102703,0102700
0200101,0200100
0200102,0200100
0200200,0200200
0200300,0200300
0200400,0200400
0400100,0400100
0400101,0400100
0400102,0400100
0400103,0400100
0400104,0400100
0400105,0400100
0400106,0400100
0400107,0400100
0400108,0400100
0400109,0400100
0400110,0400100
0400111,0400100
0400112,0400100
0400113,0400100
0400114,0400100
0400115,0400100
0400116,0400100
0400117,0400100
0400118,0400100
0400119,0400100
0400120,0400100
0400121,0400100
0400122,0400100
0400123,0400100
0400124,0400100
0400125,0400100
0400126,0400100
0400127,0400100
0400128,0400100
0400129,0400100
0400130,0400100
0400131,0400100
0400132,0400100
0400133,0400100
0400134,0400100
0400201,0400200
0400202,0400200
0400203,0400200
0400204,0400200
0400205,0400200
0400206,0400200
0400207,0400200
0400208,0400200
0400209,0400200
0400300,0400300
0400400,0400400
0400500,0400500
0400600,0400600
0400700,0400700
0400800,0400800
0400803,0400800
0400805,0400800
0400807,0400800
0400900,0400900
0500100,0500100
0500200,0500200
0500300,0500300
0500400,0500400
0500500,0500590
0500600,0500590
0500700,0500700
0500800,0500800
0500900,0500900
0501000,0500900
0501100,0501100
0501200,0501200
0501300,0501300
0501400,0501400
0501500,0501500
0501600,0501600
0501700,0501790
0501800,0501790
0501900,0501900
0502000,0502000
0600101,0600100
0600102,0600100
0600103,0600100
0600104,0600100
0600105,0600100
0600106,0600100
0600107,0600100
0600108,0600100
0600109,0600100
0600110,0600100
0600300,0600300
0600701,0600700
0600702,0600700
0601100,0601100
0601301,0601300
0601302,0601300
0601303,0601300
0601304,0601300
0601305,0601300
0601306,0601300
0601307,0601300
0601308,0601300
0601309,0601300
0601500,0601500
0601700,0601700
0601901,0601900
0601902,0601900
0601903,0601900
0601904,0601900
0601905,0601900
0601906,0601900
0601907,0601900
0602300,0602300
0602500,0602500
0602901,0602900
0602902,0602900
0602903,0602900
0602904,0602900
0602905,0602900
0603100,0603100
0603300,0603300
0603701,0603700
0603702,0603700
0603703,0603700
0603704,0603700
0603705,0603700
0603706,0603700
0603707,0603700
0603708,0603700
0603709,0603700
0603710,0603700
0603711,0603700
0603712,0603700
0603713,0603700
0603714,0603700
0603715,0603700
0603716,0603700
0603717,0603700
0603718,0603700
0603719,0603700
0603720,0603700
0603721,0603700
0603722,0603700
0603723,0603700
0603724,0603700
0603725,0603700
0603726,0603700
0603727,0603700
0603728,0603700
0603729,0603700
0603730,0603700
0603731,0603700
0603732,0603700
0603733,0603700
0603734,0603700
0603735,0603700
0603736,0603700
0603737,0603700
0603738,0603700
0603739,0603700
0603740,0603700
0603741,0603700
0603742,0603700
0603743,0603700
0603744,0603700
0603745,0603700
0603746,0603700
0603747,0603700
0603748,0603700
0603749,0603700
0603750,0603700
0603751,0603700
0603752,0603700
0603753,0603700
0603754,0603700
0603755,0603700
0603756,0603700
0603757,0603700
0603758,0603700
0603759,0603700
0603760,0603700
0603761,0603700
0603762,0603700
0603763,0603700
0603764,0603700
0603765,0603700
0603766,0603700
0603767,0603700
0603768,0603700
0603769,0603700
0603900,0603900
0604101,0604100
0604102,0604100
0604701,0604700
0604702,0604700
0605301,0605300
0605302,0605300
0605303,0605300
0605500,0605500
0605700,0605700
0605901,0605900
0605902,0605900
0605903,0605900
0605904,0605900
0605905,0605900
0605906,0605900
0605907,0605900
0605908,0605900
0605909,0605900
0605910,0605900
0605911,0605900
0605912,0605900
0605913,0605900
0605914,0605900
0605915,0605900
0605916,0605900
0605917,0605900
0605918,0605900
0606101,0606100
0606102,0606100
0606103,0606100
0606501,0606500
0606502,0606500
0606503,0606500
0606504,0606500
0606505,0606500
0606506,0606500
0606507,0606500
0606508,0606500
0606509,0606500
0606510,0606500
0606511,0606500
0606512,0606500
0606513,0606500
0606514,0606500
0606515,0606500
0606701,0606700
0606702,0606700
0606703,0606700
0606704,0606700
0606705,0606700
0606706,0606700
0606707,0606700
0606708,0606700
0606709,0606700
0606710,0606700
0606711,0606700
0606712,0606700
0607101,0607100
0607102,0607100
0607103,0607100
0607104,0607100
0607105,0607100
0607106,0607100
0607107,0607100
0607108,0607100
0607109,0607100
0607110,0607100
0607111,0607100
0607112,0607100
0607113,0607100
0607114,0607100
0607115,0607100
0607301,0607300
0607302,0607300
0607303,0607300
0607304,0607300
0607305,0607300
0607306,0607300
0607307,0607300
0607308,0607300
0607309,0607300
0607310,0607300
0607311,0607300
0607312,0607300
0607313,0607300
0607314,0607300
0607315,0607300
0607316,0607300
0607317,0607300
0607318,0607300
0607319,0607300
0607320,0607300
0607321,0607300
0607322,0607300
0607501,0607500
0607502,0607500
0607503,0607500
0607504,0607500
0607505,0607500
0607506,0607500
0607507,0607500
0607701,0607700
0607702,0607700
0607703,0607700
0607704,0607700
0607901,0607900
0607902,0607900
0608101,0608100
0608102,0608100
0608103,0608100
0608104,0608100
0608105,0608100
0608106,0608100
0608301,0608300
0608302,0608300
0608303,0608300
0608501,0608500
0608502,0608500
0608503,0608500
0608504,0608500
0608505,0608500
0608506,0608500
0608507,0608500
0608508,0608500
0608509,0608500
0608510,0608500
0608511,0608500
0608512,0608500
0608513,0608500
0608514,0608500
0608701,0608700
0608702,0608700
0608900,0608900
0609501,0609500
0609502,0609500
0609503,0609500
0609701,0609700
0609702,0609700
0609703,0609700
0609901,0609900
0609902,0609900
0609903,0609900
0609904,0609900
0610100,0610100
0610701,0610700
0610702,0610700
0610703,0610700
0611101,0611100
0611102,0611100
0611103,0611100
0611104,0611100
0611105,0611100
0611106,0611100
0611300,0611300
0800100,0800190
0800102,0800100
0800103,0800100
0800200,0800200
0800300,0800190
0800400,0800400
0800600,0800690
0800700,0800690
0800800,0800690
0800801,0800190
0800802,0800190
0800803,0800190
0800804,0800190
0800805,0800190
0800806,0800190
0800807,0800190
0800808,0800190
0800809,0800190
0800810,0800190
0800811,0800190
0800812,0800190
0800813,0800190
0800814,0800190
0800815,0800190
0800816,0800190
0800817,0800190
0800818,0800190
0800819,0800190
0800820,0800190
0800821,0800190
0800822,0800190
0800823,0800190
0800824,0800190
0800900,0800900
0801001,0801000
0801002,0801000
0804101,0804100
0804102,0804100
0804103,0804100
0804104,0804100
0804105,0804100
0804106,0804100
0900100,0900100
0900101,0900100
0900102,0900100
0900103,0900100
0900104,0900100
0900105,0900100
0900300,0900300
0900301,0900300
0900302,0900300
0900303,0900300
0900304,0900300
0900305,0900300
0900306,0900300
0900500,0900500
0900700,0900700
0900900,0900900
0900901,0900900
0900902,0900900
0900903,0900900
0900904,0900900
0900905,0900900
0900906,0900900
0901100,0901100
0901101,0901100
0901300,0901300
0901500,0901500
1000101,1000100
1000102,1000100
1000103,1000100
1000104,1000100
1000200,1000200
1000300,1000300
1100101,1100100
1100102,1100100
1100103,1100100
1100104,1100100
1100105,1100100
1200101,1200100
1200102,1200100
1200500,1200500
1200901,1200900
1200902,1200900
1200903,1200900
1200904,1200900
1201101,1201100
1201102,1201100
1201103,1201100
1201104,1201100
1201105,1201100
1201106,1201100
1201107,1201100
1201108,1201100
1201109,1201100
1201110,1201100
1201111,1201100
1201112,1201100
1201113,1201100
1201114,1201100
1201500,1201500
1201701,1201701
1201900,1201900
1202101,1202100
1202102,1202100
1202103,1202100
1202300,1202300
1202700,1202790
1203101,1203100
1203102,1203100
1203103,1203100
1203104,1203100
1203105,1203100
1203106,1203100
1203107,1203100
1203301,1203300
1203302,1203300
1203500,1203590
1205301,1205301
1205701,1205700
1205702,1205700
1205703,1205700
1205704,1205700
1205705,1205700
1205706,1205700
1205707,1205700
1205708,1205700
1206100,1206100
1206300,1206300
1206901,1206900
1206902,1206900
1206903,1206900
1207101,1207100
1207102,1207100
1207103,1207100
1207104,1207100
1207105,1207100
1207300,1207300
1207301,1207300
1208101,1208100
1208102,1208100
1208103,1208100
1208301,1208300
1208302,1208300
1208303,1208300
1208500,1208500
1208601,1208690
1208602,1208690
1208603,1208690
1208604,1208690
1208605,1208690
1208606,1208690
1208607,1208690
1208608,1208690
1208609,1208690
1208610,1208690
1208611,1208690
1208612,1208690
1208613,1208690
1208614,1208690
1208615,1208690
1208616,1208690
1208617,1208690
1208618,1208690
1208619,1208690
1208620,1208690
1208621,1208690
1208622,1208690
1208623,1208690
1208624,1208690
1208700,1208690
1208900,1208900
1209100,1209100
1209300,1202790
1209501,1209500
1209502,1209500
1209503,1209500
1209504,1209500
1209505,1209500
1209506,1209500
1209507,1209500
1209508,1209500
1209509,1209500
1209510,1209500
1209701,1209700
1209702,1209700
1209901,1209900
1209902,1209900
1209903,1209900
1209904,1209900
1209905,1209900
1209906,1209900
1209907,1209900
1209908,1209900
1209909,1209900
1209910,1209900
1209911,1209900
1210101,1210100
1210102,1210100
1210103,1210100
1210104,1210100
1210301,1210300
1210302,1210300
1210303,1210300
1210304,1210300
1210305,1210300
1210306,1210300
1210307,1210300
1210308,1210300
1210501,1210500
1210502,1210500
1210503,1210500
1210504,1210500
1210700,1210790
1210900,1210790
1211101,1211100
1211102,1211100
1211300,1211300
1211501,1211500
1211502,1211500
1211503,1211500
1211701,1211700
1211702,1211700
1211703,1211700
1211704,1211700
1212100,1212100
1212701,1203590
1212702,1203590
1212703,1203590
1212704,1203590
1300100,1300100
1300200,1300200
1300300,1300300
1300401,1300400
1300402,1300400
1300500,1300500
1300600,1300600
1300700,1300700
1300800,1300800
1300900,1300900
1301001,1301090
1301002,1301090
1301003,1301090
1301004,1301090
1301005,1301090
1301006,1301090
1301007,1301090
1301008,1301090
1301100,1301100
1301200,1301200
1301300,1301300
1301400,1301400
1301500,1301500
1301600,1301600
1301700,1301700
1301800,1301800
1301900,1301900
1302001,1301090
1302002,1301090
1302003,1301090
1302004,1301090
1302100,1302100
1302200,1302200
1302300,1302300
1302400,1302400
1302500,1302500
1302600,1302600
1302700,1302700
1302800,1302800
1302900,1302900
1303001,1303000
1303002,1303000
1303003,1303000
1303004,1303000
1303005,1303000
1303101,1303100
1303102,1303100
1303200,1303200
1303300,1303300
1303400,1303400
1303500,1303500
1303600,1303600
1303700,1303700
1303800,1303800
1303900,1303900
1304000,1304000
1304001,1304007
1304002,1304007
1304003,1304007
1304004,1304007
1304005,1304007
1304006,1304007
1304100,1304100
1304200,1304200
1304300,1304300
1304400,1304400
1304500,1304500
1304600,1301090
1305001,1305000
1305002,1305000
1306001,1306000
1306002,1306000
1500100,1500100
1500200,1500200
1500301,1500300
1500302,1500300
1500303,1500300
1500304,1500300
1500305,1500300
1500306,1500300
1500307,1500300
1500308,1500300
1600100,1600190
1600200,1600190
1600300,1600300
1600400,1600490
1600500,1600490
1600600,1600490
1600701,1600490
1600702,1600490
1600800,1600490
1600900,1600900
1601000,1601000
1601100,1601190
1601200,1601200
1601300,1601190
1700104,1700104
1700105,1700105
1700202,1700202
1700300,1700300
1700401,1700401
1700501,1700501
1700600,1700600
1700700,1700700
1700800,1700800
1700900,1700900
1701001,1701001
1701104,1701100
1701105,1701100
1701204,1701200
1701205,1701200
1701300,1701300
1701500,1701500
1701602,1701602
1701701,1701701
1701900,1701900
1702000,1702000
1702100,1702100
1702200,1702200
1702300,1702300
1702400,1702400
1702501,1702501
1702601,1702601
1702700,1702700
1702801,1702890
1702901,1702890
1703005,1703000
1703007,1703000
1703008,1703000
1703009,1703000
1703102,1703100
1703105,1703100
1703106,1703100
1703107,1703100
1703108,1703100
1703202,1703200
1703203,1703200
1703204,1703200
1703205,1703200
1703207,1703200
1703208,1703200
1703209,1703200
1703306,1703300
1703307,1703300
1703308,1703300
1703309,1703300
1703310,1703300
1703401,1703400
1703407,1703400
1703408,1703400
1703409,1703400
1703410,1703400
1703411,1703400
1703412,1703400
1703413,1703400
1703414,1703400
1703415,1703400
1703416,1703400
1703417,1703400
1703418,1703400
1703419,1703400
1703420,1703400
1703421,1703400
1703422,1703400
1703501,1703400
1703502,1703400
1703503,1703400
1703504,1703400
1703520,1703400
1703521,1703400
1703522,1703400
1703523,1703400
1703524,1703400
1703525,1703400
1703526,1703400
1703527,1703400
1703528,1703400
1703529,1703400
1703530,1703400
1703531,1703400
1703532,1703400
1703601,1703600
1703602,1703600
1703700,1703700
1800101,1800100
1800102,1800100
1800103,1800100
1800104,1800100
1800200,1800200
1800300,1800300
1800401,1800400
1800402,1800400
1800500,1800500
1800600,1800600
1800700,1800700
1800800,1800800
1800900,1800900
1801001,1801000
1801002,1801000
1801003,1801000
1801100,1801100
1801200,1801200
1801300,1801300
1801400,1801400
1801500,1801500
1801600,1801600
1801700,1801700
1801801,1801800
1801802,1801800
1801803,1801800
1801900,1801900
1802000,1802000
1802100,1802100
1802200,1802200
1802301,1802300
1802302,1802300
1802303,1802300
1802304,1802300
1802305,1802300
1802306,1802300
1802307,1802300
1802400,1802400
1802500,1802500
1802600,1802600
1802700,1802700
1802800,1802800
1802900,1802900
1803000,1803000
1803100,1803100
1803200,1803200
1803300,1803300
1803400,1803400
1803500,1803500
1803600,1803600
1900100,1900100
1900200,1900200
1900400,1900400
1900500,1900500
1900600,1900600
1900700,1900700
1900800,1900800
1900900,1900900
1901000,1901000
1901100,1901100
1901200,1901200
1901300,1901300
1901400,1901490
1901500,1901490
1901600,1901490
1901700,1901490
1901800,1901800
1901900,1901900
1902000,1902000
1902100,1902100
1902200,1902200
1902300,1902300
2000100,2000100
2000200,2000200
2000300,2000300
2000400,2000400
2000500,2000500
2000601,2000600
2000602,2000600
2000603,2000600
2000604,2000600
2000700,2000700
2000801,2000800
2000802,2000800
2000900,2000990
2001000,2001000
2001100,2000990
2001200,2001200
2001301,2001300
2001302,2001300
2001303,2001300
2001304,2001300
2001400,2001400
2001500,2001500
2100100,2100100
2100200,2100200
2100300,2100300
2100400,2100400
2100500,2100500
2100600,2100600
2100700,2100700
2100800,2100800
2100900,2100900
2101000,2101000
2101100,2101100
2101200,2101290
2101300,2101290
2101400,2101400
2101500,2101500
2101600,2101690
2101701,2101700
2101702,2101700
2101703,2101700
2101704,2101700
2101705,2101700
2101706,2101700
2101800,2101690
2101901,2101900
2101902,2101900
2102000,2102000
2102100,2102100
2102200,2102200
2102300,2102300
2102400,2102400
2102500,2102500
2102600,2102600
2102700,2102700
2102800,2102800
2200100,2200100
2200101,2200100
2200200,2200200
2200300,2200300
2200400,2200400
2200500,2200500
2200600,2200600
2200700,2200700
2200800,2200890
2200900,2200890
2201000,2201000
2201100,2201100
2201200,2201200
2201201,2201200
2201300,2201300
2201400,2201400
2201500,2201500
2201501,2201500
2201502,2201500
2201600,2201600
2201700,2201700
2201800,2201800
2201900,2201900
2202000,2202000
2202100,2202100
2202200,2202200
2202201,2202200
2202300,2202390
2202301,2202390
2202302,2202390
2202400,2202400
2202401,2202400
2202402,2202400
2202500,2202390
2300100,2300100
2300200,2300200
2300300,2300300
2300400,2300400
2300500,2300500
2300600,2300600
2300700,2300790
2300800,2300790
2300900,2300790
2301000,2300790
2400100,2400100
2400200,2400200
2400301,2400300
2400302,2400300
2400400,2400400
2400501,2400500
2400502,2400500
2400503,2400500
2400504,2400500
2400505,2400500
2400506,2400500
2400507,2400500
2400601,2400600
2400602,2400600
2400700,2400700
2400801,2400800
2400802,2400800
2400803,2400800
2400804,2400800
2400805,2400800
2400901,2400900
2400902,2400900
2401001,2401000
2401002,2401000
2401003,2401000
2401004,2401000
2401005,2401000
2401006,2401000
2401007,2401000
2401101,2401100
2401102,2401100
2401103,2401100
2401104,2401100
2401105,2401100
2401106,2401100
2401107,2401100
2401201,2401200
2401202,2401200
2401203,2401200
2401204,2401200
2401300,2401300
2401400,2401400
2401500,2401500
2401600,2401600
2500100,2500100
2500200,2500290
2500300,2500390
2500301,2500390
2500302,2500390
2500303,2500390
2500304,2500390
2500400,2500390
2500501,2500390
2500502,2500390
2500503,2500390
2500504,2500390
2500505,2500390
2500506,2500390
2500507,2500390
2500508,2500390
2500701,2500390
2500702,2500390
2500703,2500390
2500704,2500390
2501000,2500390
2501300,2500390
2501400,2500390
2501600,2500290
2501900,2500290
2501901,2500290
2501902,2500290
2502400,2500390
2502800,2500390
2503301,2503300
2503302,2503300
2503303,2503300
2503304,2503300
2503305,2503300
2503306,2503300
2503400,2500390
2503500,2500390
2503601,2500390
2503602,2500390
2503603,2500390
2503900,2500390
2504000,2500390
2504200,2500390
2504301,2500390
2504302,2500390
2504303,2500390
2504500,2500390
2504700,2504790
2504800,2504790
2504901,2500390
2504902,2500390
2504903,2500390
2600100,2600100
2600200,2600200
2600300,2600300
2600400,2600400
2600500,2600500
2600600,2600600
2600700,2600700
2600801,2600800
2600802,2600800
2600900,2600900
2601001,2601000
2601002,2601000
2601003,2601000
2601004,2601000
2601100,2601100
2601200,2601200
2601300,2601300
2601400,2601400
2601500,2601500
2601600,2601600
2601701,2601700
2601702,2601700
2601703,2601700
2601704,2601700
2601801,2601800
2601802,2601800
2601900,2601900
2602000,2602000
2602101,2602100
2602102,2602100
2602200,2602200
2602300,2602300
2602400,2602400
2602500,2602500
2602600,2602600
2602701,2602700
2602702,2602700
2602703,2602700
2602800,2602800
2602901,2602900
2602902,2602900
2602903,2602900
2602904,2602900
2602905,2602900
2602906,2602900
2602907,2602900
2602908,2602900
2603001,2603000
2603002,2603000
2603003,2603000
2603004,2603000
2603005,2603000
2603006,2603000
2603100,2603100
2603201,2603200
2603202,2603200
2603203,2603200
2603204,2603200
2603205,2603200
2603206,2603200
2603207,2603200
2603208,2603200
2603209,2603200
2603210,2603200
2603211,2603200
2603212,2603200
2603213,2603200
2603300,2603300
2700100,2700100
2700200,2700200
2700300,2700390
2700400,2700390
2700500,2700390
2700600,2700600
2700700,2700700
2700800,2700800
2700900,2700900
2701000,2701000
2701101,2701100
2701102,2701100
2701103,2701100
2701201,2701200
2701202,2701200
2701301,2701300
2701302,2701300
2701303,2701300
2701304,2701300
2701401,2701400
2701402,2701400
2701403,2701400
2701404,2701400
2701405,2701400
2701406,2701400
2701407,2701400
2701408,2701400
2701409,2701400
2701410,2701400
2701501,2701500
2701502,2701500
2701503,2701500
2701600,2701690
2701700,2701690
2701800,2701800
2701900,2701900
2702000,2702000
2702100,2702100
2702200,2702200
2702300,2702300
2702400,2702400
2702500,2702500
2702600,2702600
2800100,2800100
2800200,2800200
2800300,2800300
